Learner Settings,Dataset/Settings,ROC-AUC,Accuracy,Time(ms)
silas-temp/grid-search/batch1/learner-settings.json,silas-temp/results/settings.json,0.867754,0.683594,50
silas-temp/grid-search/batch2/learner-settings.json,silas-temp/results/settings.json,0.854075,0.695312,41
silas-temp/grid-search/batch3/learner-settings.json,silas-temp/results/settings.json,0.999739,0.979167,149
silas-temp/grid-search/batch4/learner-settings.json,silas-temp/results/settings.json,0.872791,0.766927,49
silas-temp/grid-search/batch5/learner-settings.json,silas-temp/results/settings.json,0.858672,0.679688,46
silas-temp/grid-search/batch6/learner-settings.json,silas-temp/results/settings.json,0.852127,0.704427,40
silas-temp/grid-search/batch7/learner-settings.json,silas-temp/results/settings.json,0.999836,0.980469,148
silas-temp/grid-search/batch8/learner-settings.json,silas-temp/results/settings.json,0.876993,0.766927,47
silas-temp/grid-search/batch9/learner-settings.json,silas-temp/results/settings.json,0.862791,0.682292,49
silas-temp/grid-search/batch10/learner-settings.json,silas-temp/results/settings.json,0.85453,0.717448,44
silas-temp/grid-search/batch11/learner-settings.json,silas-temp/results/settings.json,1,1,177
silas-temp/grid-search/batch12/learner-settings.json,silas-temp/results/settings.json,0.879918,0.77474,56
silas-temp/grid-search/batch13/learner-settings.json,silas-temp/results/settings.json,0.865672,0.6875,47
silas-temp/grid-search/batch14/learner-settings.json,silas-temp/results/settings.json,0.859507,0.68099,41
silas-temp/grid-search/batch15/learner-settings.json,silas-temp/results/settings.json,1,1,195
silas-temp/grid-search/batch16/learner-settings.json,silas-temp/results/settings.json,0.88791,0.773438,53
silas-temp/grid-search/batch17/learner-settings.json,silas-temp/results/settings.json,0.87056,0.683594,178
silas-temp/grid-search/batch18/learner-settings.json,silas-temp/results/settings.json,0.859246,0.700521,160
silas-temp/grid-search/batch19/learner-settings.json,silas-temp/results/settings.json,0.999903,0.985677,691
silas-temp/grid-search/batch20/learner-settings.json,silas-temp/results/settings.json,0.877291,0.764323,199
silas-temp/grid-search/batch21/learner-settings.json,silas-temp/results/settings.json,0.865373,0.682292,181
silas-temp/grid-search/batch22/learner-settings.json,silas-temp/results/settings.json,0.856142,0.709635,150
silas-temp/grid-search/batch23/learner-settings.json,silas-temp/results/settings.json,0.999873,0.986979,704
silas-temp/grid-search/batch24/learner-settings.json,silas-temp/results/settings.json,0.874813,0.770833,195
silas-temp/grid-search/batch25/learner-settings.json,silas-temp/results/settings.json,0.86444,0.675781,186
silas-temp/grid-search/batch26/learner-settings.json,silas-temp/results/settings.json,0.858739,0.697917,165
silas-temp/grid-search/batch27/learner-settings.json,silas-temp/results/settings.json,1,1,827
silas-temp/grid-search/batch28/learner-settings.json,silas-temp/results/settings.json,0.883381,0.770833,229
silas-temp/grid-search/batch29/learner-settings.json,silas-temp/results/settings.json,0.867754,0.674479,190
silas-temp/grid-search/batch30/learner-settings.json,silas-temp/results/settings.json,0.862731,0.69401,164
silas-temp/grid-search/batch31/learner-settings.json,silas-temp/results/settings.json,1,1,843
silas-temp/grid-search/batch32/learner-settings.json,silas-temp/results/settings.json,0.883843,0.779948,223
